Disease,"Disease.keyword",ExtractedDate,ExtractedDateTime,Incident,"Incident.keyword","Incident_Type","Incident_Type.keyword","Incident_type","Incident_type.keyword",Language,"Language.keyword",Location,"Location.keyword",MLPipelineVersion,"MLPipelineVersion.keyword",Number,OriginalArticle,"OriginalArticle.keyword",Score,Source,"Source.keyword",Start,TranslatedArticle,"TranslatedArticle.keyword",Url,"Url.keyword","_id","_index","_score","_type"
"kala fever","kala fever","Oct 23, 2022 @ 00:00:00.000","Oct 23, 2022 @ 22:35:03.000",case,case,"-","-",total,total,bn,bn,UNKNOWN,UNKNOWN,v1,v1,22,"Black Fever: কালাজ্বর নির্মূলে তৎপর স্বাস্থ্য বিভাগ, বাড়ি বাড়ি চলল স্প্রে . বুনিয়াদপুর পৌরসভা ও বংশীহারি ব্লকের একাধিক জায়গায় কালাজ্বরে অতিষ্ঠ জনজীবন(Buniadpur Municipality)৷ চলতি মাস পর্যন্ত মোট আক্রান্তের সংখ্যা 22(Black Fever)৷ যা রীতিমতো চিন্তার ভাঁজ ফেলেছে প্রশাসনিক মহলে ৷ ","Black Fever: কালাজ্বর নির্মূলে তৎপর স্বাস্থ্য বিভাগ, বাড়ি বাড়ি চলল স্প্রে . বুনিয়াদপুর পৌরসভা ও বংশীহারি ব্লকের একাধিক জায়গায় কালাজ্বরে অতিষ্ঠ জনজীবন(Buniadpur Municipality)৷ চলতি মাস পর্যন্ত মোট আক্রান্তের সংখ্যা 22(Black Fever)৷ যা রীতিমতো চিন্তার ভাঁজ ফেলেছে প্রশাসনিক মহলে ৷ ","0.65","cc_news ","cc_news ","-1","Black Fever: Health Department launches door-to-door sprays to combat Kala-azar A total of 22 cases of Kala Fever have been reported in Buniadpur Municipality and Banshihari Block till this month.","Black Fever: Health Department launches door-to-door sprays to combat Kala-azar A total of 22 cases of Kala Fever have been reported in Buniadpur Municipality and Banshihari Block till this month.","https://www.etvbharat.com/bengali/west-bengal/state/dakshin-dinajpur/health-department-in-act-against-black-fever-in-buniadpur-municipality-and-banshihari-block/wb20221023211755265265458","https://www.etvbharat.com/bengali/west-bengal/state/dakshin-dinajpur/health-department-in-act-against-black-fever-in-buniadpur-municipality-and-banshihari-block/wb20221023211755265265458",4cIZLoQBjuOAFaZ2PbUX,"raw_event_data_index","-","-"
"kala - azar","kala - azar","Sep 23, 2022 @ 00:00:00.000","Sep 23, 2022 @ 18:17:23.000",case,case,"-","-",total,total,en,en,UNKNOWN,UNKNOWN,v1,v1,65,"Several Bengal districts report cases of black fever . Eleven districts of Bengal have reported at least 65 cases of black fever or 'kala-azar' in the last couple of weeks, a senior official of the health department said, citing results of a state-administered surveillance ","Several Bengal districts report cases of black fever . Eleven districts of Bengal have reported at least 65 cases of black fever or 'kala-azar' in the last couple of weeks, a senior official of the health department said, citing results of a state-administered surveillance ","0.83","galerts ","galerts ","-1","Several Bengal districts report cases of black fever . Eleven districts of Bengal have reported at least 65 cases of black fever or 'kala-azar' in the last couple of weeks, a senior official of the health department said, citing results of a state-administered surveillance","Several Bengal districts report cases of black fever . Eleven districts of Bengal have reported at least 65 cases of black fever or 'kala-azar' in the last couple of weeks, a senior official of the health department said, citing results of a state-administered surveillance","https://www.nationalheraldindia.com/national/several-bengal-districts-report-cases-of-black-fever","https://www.nationalheraldindia.com/national/several-bengal-districts-report-cases-of-black-fever",fcEOLoQBjuOAFaZ2CyDM,"raw_event_data_index","-","-"
"Acute Encephalitis Syndrome","Acute Encephalitis Syndrome","Sep 19, 2022 @ 00:00:00.000","Sep 19, 2022 @ 13:35:03.000",death,death,"-","-",new,new,hi,hi,"Haldwani Kathgodam","Haldwani Kathgodam",v1,v1,1,"हल्द्वानी में डेंगू के बीच जापानी इंसेफेलाइटिस की दस्तक, एक की मौत | हल्द्वानी में डेंगू के बीच इंसेफेलाइटिस ने दस्तक दे दी है. बीते दिनों कालाजार से सुशीला तिवारी अस्पताल (Sushila Tiwari Hospital) में एक मरीज की मौत हो गई थी. सुशीला तिवारी अस्पताल में एक मरीज की मौत के बाद स्वास्थ्य महकमे में हड़कंप मचा है. एक 22 वर्षीय युवती में जापानी इंसेफेलाइटिस (Japanese encephalitis) के लक्षण पाए गए हैं. उसका सैंपल जांच के लिए भेजा गया है. युवती की भी हालत गंभीर बनी हुई है. ","हल्द्वानी में डेंगू के बीच जापानी इंसेफेलाइटिस की दस्तक, एक की मौत | हल्द्वानी में डेंगू के बीच इंसेफेलाइटिस ने दस्तक दे दी है. बीते दिनों कालाजार से सुशीला तिवारी अस्पताल (Sushila Tiwari Hospital) में एक मरीज की मौत हो गई थी. सुशीला तिवारी अस्पताल में एक मरीज की मौत के बाद स्वास्थ्य महकमे में हड़कंप मचा है. एक 22 वर्षीय युवती में जापानी इंसेफेलाइटिस (Japanese encephalitis) के लक्षण पाए गए हैं. उसका सैंपल जांच के लिए भेजा गया है. युवती की भी हालत गंभीर बनी हुई है. ","0.46","cc_news ","cc_news ","-1","One dies of Japanese Encephalitis in Haldwani A patient from Kala-azar died in Sushila Tiwari Hospital. The health department is in a state of shock after the death of a patient in Sushila Tiwari Hospital. A 22-year-old woman has been diagnosed with Japanese encephalitis. His samples have been sent for tests. The girls condition is very serious.","One dies of Japanese Encephalitis in Haldwani A patient from Kala-azar died in Sushila Tiwari Hospital. The health department is in a state of shock after the death of a patient in Sushila Tiwari Hospital. A 22-year-old woman has been diagnosed with Japanese encephalitis. His samples have been sent for tests. The girls condition is very serious.","https://www.etvbharat.com/hindi/uttarakhand/state/nainital/one-person-died-of-japanese-encephalitis-in-haldwani/uttarakhand20220919111613328328078","https://www.etvbharat.com/hindi/uttarakhand/state/nainital/one-person-died-of-japanese-encephalitis-in-haldwani/uttarakhand20220919111613328328078",98IVLoQBjuOAFaZ2aSpr,"raw_event_data_index","-","-"
"Dengue / DHF / DSS","Dengue / DHF / DSS","Sep 17, 2022 @ 00:00:00.000","Sep 17, 2022 @ 13:04:44.000",case,case,"-","-",new,new,hi,hi,"Haldwani Kathgodam","Haldwani Kathgodam",v1,v1,4,"Haldwani में बढ़ा डेंगू का प्रकोप, चार और मरीजों में बीमारी की पुष्टि, कालाजार का भी एक मरीज भर्ती - four more patients of Dengue confirmed n Haldwani . Dengue in Haldwani मौसम में बदलाव शुरू होते ही डेंगू के मरीजों की संख्या भी तेजी से बढ़ने लगी है। हल्द्वानी में इस बीमारी के चार मरीज और रिपोर्ट किए गए हैं। इनमें एक की हालत गंभीर बताई जा रही है। वहीं कालाजार बीमारी का भी एक मरीज मिला है। ","Haldwani में बढ़ा डेंगू का प्रकोप, चार और मरीजों में बीमारी की पुष्टि, कालाजार का भी एक मरीज भर्ती - four more patients of Dengue confirmed n Haldwani . Dengue in Haldwani मौसम में बदलाव शुरू होते ही डेंगू के मरीजों की संख्या भी तेजी से बढ़ने लगी है। हल्द्वानी में इस बीमारी के चार मरीज और रिपोर्ट किए गए हैं। इनमें एक की हालत गंभीर बताई जा रही है। वहीं कालाजार बीमारी का भी एक मरीज मिला है। ","0.384","galerts ","galerts ","-1","Four more patients of Dengue confirmed in Haldwani, one more confirmed case of Kala-azar Four more cases of this disease have been reported from Haldwani. One of them is reportedly in serious condition. One case of Kala Azar has also been reported.","Four more patients of Dengue confirmed in Haldwani, one more confirmed case of Kala-azar Four more cases of this disease have been reported from Haldwani. One of them is reportedly in serious condition. One case of Kala Azar has also been reported.","https://www.jagran.com/uttarakhand/nainital-four-more-patients-of-dengue-confirmed-n-haldwani-23076426.html","https://www.jagran.com/uttarakhand/nainital-four-more-patients-of-dengue-confirmed-n-haldwani-23076426.html",EsIVLoQBjuOAFaZ2WynD,"raw_event_data_index","-","-"
"kala azar","kala azar","Sep 17, 2022 @ 00:00:00.000","Sep 17, 2022 @ 13:04:44.000",case,case,"-","-",total,total,hi,hi,"Haldwani Kathgodam","Haldwani Kathgodam",v1,v1,1,"Haldwani में बढ़ा डेंगू का प्रकोप, चार और मरीजों में बीमारी की पुष्टि, कालाजार का भी एक मरीज भर्ती - four more patients of Dengue confirmed n Haldwani . Dengue in Haldwani मौसम में बदलाव शुरू होते ही डेंगू के मरीजों की संख्या भी तेजी से बढ़ने लगी है। हल्द्वानी में इस बीमारी के चार मरीज और रिपोर्ट किए गए हैं। इनमें एक की हालत गंभीर बताई जा रही है। वहीं कालाजार बीमारी का भी एक मरीज मिला है। ","Haldwani में बढ़ा डेंगू का प्रकोप, चार और मरीजों में बीमारी की पुष्टि, कालाजार का भी एक मरीज भर्ती - four more patients of Dengue confirmed n Haldwani . Dengue in Haldwani मौसम में बदलाव शुरू होते ही डेंगू के मरीजों की संख्या भी तेजी से बढ़ने लगी है। हल्द्वानी में इस बीमारी के चार मरीज और रिपोर्ट किए गए हैं। इनमें एक की हालत गंभीर बताई जा रही है। वहीं कालाजार बीमारी का भी एक मरीज मिला है। ","0.671","galerts ","galerts ","-1","Four more patients of Dengue confirmed in Haldwani, one more confirmed case of Kala-azar Four more cases of this disease have been reported from Haldwani. One of them is reportedly in serious condition. One case of Kala Azar has also been reported.","Four more patients of Dengue confirmed in Haldwani, one more confirmed case of Kala-azar Four more cases of this disease have been reported from Haldwani. One of them is reportedly in serious condition. One case of Kala Azar has also been reported.","https://www.jagran.com/uttarakhand/nainital-four-more-patients-of-dengue-confirmed-n-haldwani-23076426.html","https://www.jagran.com/uttarakhand/nainital-four-more-patients-of-dengue-confirmed-n-haldwani-23076426.html",E8IVLoQBjuOAFaZ2WynK,"raw_event_data_index","-","-"
"kala - azar","kala - azar","Sep 17, 2022 @ 00:00:00.000","Sep 17, 2022 @ 05:29:40.000",case,case,"-","-",new,new,hi,hi,"Haldwani Kathgodam","Haldwani Kathgodam",v1,v1,2,"'कालाजार' की पहाड़ों में दस्तक, हल्द्वानी में भर्ती एक मरीज की मौत, जानें क्‍या हैं लक्षण? - kala azar black fever cases found in kumaun uttarakhand susheela tiwari government hospital nodark – News18 हिंदी . Black Fever-Kala Azar: हल्द्वानी के सुशीला तिवारी राजकीय अस्पताल में कालाजार रोग के दो मरीज सामने आए हैं. इसके साथ इस बीमारी ने पहाड़ों में दस्‍तक दे दी है. वहीं, स्वास्थ्य विभाग अलर्ट हो गया है.  ","'कालाजार' की पहाड़ों में दस्तक, हल्द्वानी में भर्ती एक मरीज की मौत, जानें क्‍या हैं लक्षण? - kala azar black fever cases found in kumaun uttarakhand susheela tiwari government hospital nodark – News18 हिंदी . Black Fever-Kala Azar: हल्द्वानी के सुशीला तिवारी राजकीय अस्पताल में कालाजार रोग के दो मरीज सामने आए हैं. इसके साथ इस बीमारी ने पहाड़ों में दस्‍तक दे दी है. वहीं, स्वास्थ्य विभाग अलर्ट हो गया है.  ","0.787","galerts ","galerts ","-1","Kala-azar: Man admitted to Haldwani hospital dies after falling in mountains -kala azar black fever cases found in Kumaun Uttrakhand Susheela Tiwari government hospital noodark-News18 Two cases of Kala Azar have been reported from Sushila Tiwari Government Hospital in Haldwani. With this, the disease has hit the mountains. Meanwhile, the health department has been put on alert.","Kala-azar: Man admitted to Haldwani hospital dies after falling in mountains -kala azar black fever cases found in Kumaun Uttrakhand Susheela Tiwari government hospital noodark-News18 Two cases of Kala Azar have been reported from Sushila Tiwari Government Hospital in Haldwani. With this, the disease has hit the mountains. Meanwhile, the health department has been put on alert.","https://hindi.news18.com/news/uttarakhand/haldwani-kala-azar-black-fever-cases-found-in-kumaun-uttarakhand-susheela-tiwari-government-hospital-nodark-4606931.html","https://hindi.news18.com/news/uttarakhand/haldwani-kala-azar-black-fever-cases-found-in-kumaun-uttarakhand-susheela-tiwari-government-hospital-nodark-4606931.html",zMIVLoQBjuOAFaZ2WSjB,"raw_event_data_index","-","-"
"kala fever","kala fever","Sep 14, 2022 @ 00:00:00.000","Sep 14, 2022 @ 00:35:03.000",case,case,"-","-",new,new,hi,hi,"Haldwani Kathgodam","Haldwani Kathgodam",v1,v1,50,"पहाड़ों में बढ़ते काला ज्वर के मरीजों ने बढ़ाई टेंशन, सुशीला तिवारी अस्पताल में एक मौत | इन दिनों पहाड़ों में काला ज्वर के मरीजों की संख्या (black fever patients Number in the mountains) तेजी से बढ़ रही है. हल्द्वानी स्थित सुशीला तिवारी में अब तक काला ज्वर के 50 मरीज पहुंच चुके हैं. वहीं, आज एक मरीज की इलाज के दौरान मौत हो गई. ","पहाड़ों में बढ़ते काला ज्वर के मरीजों ने बढ़ाई टेंशन, सुशीला तिवारी अस्पताल में एक मौत | इन दिनों पहाड़ों में काला ज्वर के मरीजों की संख्या (black fever patients Number in the mountains) तेजी से बढ़ रही है. हल्द्वानी स्थित सुशीला तिवारी में अब तक काला ज्वर के 50 मरीज पहुंच चुके हैं. वहीं, आज एक मरीज की इलाज के दौरान मौत हो गई. ","0.785","cc_news ","cc_news ","-1","Black fever patients on the rise in the mountains: Sushila Tiwari So far, 50 cases of Kala Fever have been reported from Sushila Tiwari in Haldwani. One patient died during treatment.","Black fever patients on the rise in the mountains: Sushila Tiwari So far, 50 cases of Kala Fever have been reported from Sushila Tiwari in Haldwani. One patient died during treatment.","https://www.etvbharat.com/hindi/uttarakhand/state/pauri-garhwal/black-fever-patients-increased-in-uttarakhand/uttarakhand20220913222329137137530","https://www.etvbharat.com/hindi/uttarakhand/state/pauri-garhwal/black-fever-patients-increased-in-uttarakhand/uttarakhand20220913222329137137530",Y8IVLoQBjuOAFaZ2SCaQ,"raw_event_data_index","-","-"
"visceral leishmaniasis","visceral leishmaniasis","Sep 13, 2022 @ 00:00:00.000","Sep 13, 2022 @ 12:31:25.000",case,case,"-","-",new,new,en,en,UNKNOWN,UNKNOWN,v1,v1,12,"Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […] ","Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […] ","0.437","galerts ","galerts ","-1","Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […]","Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […]","http://outbreaknewstoday.com/bolivia-12-cases-of-visceral-leishmaniasis-reported-in-villa-montes-27327/","http://outbreaknewstoday.com/bolivia-12-cases-of-visceral-leishmaniasis-reported-in-villa-montes-27327/",VMENLoQBjuOAFaZ2eguK,"raw_event_data_index","-","-"
"visceral leishmaniasis","visceral leishmaniasis","Sep 13, 2022 @ 00:00:00.000","Sep 13, 2022 @ 09:41:43.000",case,case,"-","-",new,new,en,en,UNKNOWN,UNKNOWN,v1,v1,12,"Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […] ","Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […] ","0.437","galerts ","galerts ","-1","Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […]","Bolivia: 12 cases of visceral leishmaniasis reported in Villa Montes - Outbreak News Today . NewsDesk @bactiman63 The Departmental Health Service of Tarija is reporting that cases of visceral leishmaniasis are increasing, especially in the municipality of Villa Montes. “There is an increase in cases of visceral leishmaniasis especially in the municipality of Villa Montes, there are 12 confirmed cases of this pathology in that municipality, which makes us a total of […]","http://outbreaknewstoday.com/bolivia-12-cases-of-visceral-leishmaniasis-reported-in-villa-montes-27327/","http://outbreaknewstoday.com/bolivia-12-cases-of-visceral-leishmaniasis-reported-in-villa-montes-27327/",z8ENLoQBjuOAFaZ2dgr3,"raw_event_data_index","-","-"
"kala azar","kala azar","Jul 21, 2022 @ 00:00:00.000","Jul 21, 2022 @ 10:42:31.000",case,case,"-","-",new,new,en,en,"West Bengal","West Bengal",v1,v1,65,"Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts. ","Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts. ","0.725","galerts ","galerts ","-1","Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts.","Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts.","https://www.hindustantimes.com/lifestyle/health/kala-azar-causes-types-symptoms-and-treatment-101658290763918.html","https://www.hindustantimes.com/lifestyle/health/kala-azar-causes-types-symptoms-and-treatment-101658290763918.html",AcAJLoQBjuOAFaZ2voDy,"raw_event_data_index","-","-"
"kala azar","kala azar","Jul 20, 2022 @ 00:00:00.000","Jul 20, 2022 @ 15:59:28.000",case,case,"-","-",new,new,kn,kn,"West Bengal","West Bengal",v1,v1,65,"Kala Azar: ಬ್ಲ್ಯಾಕ್ ಫೀವರ್ ಎಂದರೇನು? ಲಕ್ಷಣಗಳು, ಚಿಕಿತ್ಸೆಗಳೇನು? | Whats is Kala Azar Fever: Causes, types, symptoms and treatment | TV9 Kannada . ಪಶ್ಚಿಮ ಬಂಗಾಳದಲ್ಲಿ ಬ್ಲ್ಯಾಕ್ ಫೀವರ್(Black Fever)  ಅಥವಾ ಕಾಲಾ ಅಜರ್ ಎನ್ನುವ ಜ್ವರ ಜನರನ್ನು ಕಾಡುತ್ತಿದ್ದು, ಕಳೆದ ಎರಡು ವಾರಗಳಲ್ಲಿ 65 ಪ್ರಕರಣಗಳು ವರದಿಯಾಗಿವೆ ಎಂದು ಆರೋಗ್ಯ ಇಲಾಖೆಯ ಅಧಿಕಾರಿಗಳು ಮಾಹಿತಿ ನೀಡಿದ್ದಾರೆ. ","Kala Azar: ಬ್ಲ್ಯಾಕ್ ಫೀವರ್ ಎಂದರೇನು? ಲಕ್ಷಣಗಳು, ಚಿಕಿತ್ಸೆಗಳೇನು? | Whats is Kala Azar Fever: Causes, types, symptoms and treatment | TV9 Kannada . ಪಶ್ಚಿಮ ಬಂಗಾಳದಲ್ಲಿ ಬ್ಲ್ಯಾಕ್ ಫೀವರ್(Black Fever)  ಅಥವಾ ಕಾಲಾ ಅಜರ್ ಎನ್ನುವ ಜ್ವರ ಜನರನ್ನು ಕಾಡುತ್ತಿದ್ದು, ಕಳೆದ ಎರಡು ವಾರಗಳಲ್ಲಿ 65 ಪ್ರಕರಣಗಳು ವರದಿಯಾಗಿವೆ ಎಂದು ಆರೋಗ್ಯ ಇಲಾಖೆಯ ಅಧಿಕಾರಿಗಳು ಮಾಹಿತಿ ನೀಡಿದ್ದಾರೆ. ","0.902","galerts ","galerts ","-1","What is Black Fever? What are the symptoms? What is Kerala Azar Fever: Causes, Types, Symbols and Treatment | TV9 West Bengal has reported 65 cases of Black Fever or Kala Azar in the last two weeks.","What is Black Fever? What are the symptoms? What is Kerala Azar Fever: Causes, Types, Symbols and Treatment | TV9 West Bengal has reported 65 cases of Black Fever or Kala Azar in the last two weeks.","https://tv9kannada.com/lifestyle/whats-is-kala-azar-fever-causes-types-symptoms-and-treatment-nyr-au54-416148.html","https://tv9kannada.com/lifestyle/whats-is-kala-azar-fever-causes-types-symptoms-and-treatment-nyr-au54-416148.html",BMIXLoQBjuOAFaZ2IGmy,"raw_event_data_index","-","-"
"kala azar","kala azar","Jul 20, 2022 @ 00:00:00.000","Jul 20, 2022 @ 10:40:11.000",case,case,"-","-",new,new,en,en,"West Bengal","West Bengal",v1,v1,65,"Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts. ","Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts. ","0.725","galerts ","galerts ","-1","Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts.","Kala Azar: Causes, types, symptoms and treatment | Health - Hindustan Times . West Bengal reported 65 cases of Kala Azar in the last few weeks. From symptoms of the disease to the ways of treatment, know all about Kala Azar here from the experts.","https://www.hindustantimes.com/lifestyle/health/kala-azar-causes-types-symptoms-and-treatment-101658290763918.html","https://www.hindustantimes.com/lifestyle/health/kala-azar-causes-types-symptoms-and-treatment-101658290763918.html",asAJLoQBjuOAFaZ2tH5G,"raw_event_data_index","-","-"
"kala azar","kala azar","Jul 20, 2022 @ 00:00:00.000","Jul 20, 2022 @ 04:01:02.000",case,case,"-","-",new,new,en,en,"West Bengal","West Bengal",v1,v1,65,"Kala Azar or Black fever detected in West Bengal: All you need to know about the disease » News Next . In the last couple of weeks, eleven districts of Bengal have reported around 65 cases of Kala Azar or Black fever in a state-administered surveillance. Accordin ","Kala Azar or Black fever detected in West Bengal: All you need to know about the disease » News Next . In the last couple of weeks, eleven districts of Bengal have reported around 65 cases of Kala Azar or Black fever in a state-administered surveillance. Accordin ","0.775","galerts ","galerts ","-1","Kala Azar or Black fever detected in West Bengal: All you need to know about the disease » News Next . In the last couple of weeks, eleven districts of Bengal have reported around 65 cases of Kala Azar or Black fever in a state-administered surveillance. Accordin","Kala Azar or Black fever detected in West Bengal: All you need to know about the disease » News Next . In the last couple of weeks, eleven districts of Bengal have reported around 65 cases of Kala Azar or Black fever in a state-administered surveillance. Accordin","https://www.news-next.in/kala-azar-or-black-fever-detected-in-west-bengal-all-you-need-to-know-about-the-disease/","https://www.news-next.in/kala-azar-or-black-fever-detected-in-west-bengal-all-you-need-to-know-about-the-disease/",n8AJLoQBjuOAFaZ2rn3y,"raw_event_data_index","-","-"
"black fever","black fever","Jul 20, 2022 @ 00:00:00.000","Jul 20, 2022 @ 04:01:02.000",case,case,"-","-",new,new,en,en,"West Bengal","West Bengal",v1,v1,65,"Black Flu Know Kala Azar Symptoms And Causes: Over 65 Instances Of Black Fever Have Been Reported In West Bengal. . At least 65 cases of black fever have been reported in 11 districts in West Bengal. Darjeeling, Malda, Uttar Dinajpur and Kalimpong have recorded the highest number of Kala Azar cases. ","Black Flu Know Kala Azar Symptoms And Causes: Over 65 Instances Of Black Fever Have Been Reported In West Bengal. . At least 65 cases of black fever have been reported in 11 districts in West Bengal. Darjeeling, Malda, Uttar Dinajpur and Kalimpong have recorded the highest number of Kala Azar cases. ","0.473","galerts ","galerts ","-1","Black Flu Know Kala Azar Symptoms And Causes: Over 65 Instances Of Black Fever Have Been Reported In West Bengal. . At least 65 cases of black fever have been reported in 11 districts in West Bengal. Darjeeling, Malda, Uttar Dinajpur and Kalimpong have recorded the highest number of Kala Azar cases.","Black Flu Know Kala Azar Symptoms And Causes: Over 65 Instances Of Black Fever Have Been Reported In West Bengal. . At least 65 cases of black fever have been reported in 11 districts in West Bengal. Darjeeling, Malda, Uttar Dinajpur and Kalimpong have recorded the highest number of Kala Azar cases.","https://www.safalta.com/current-affairs/black-flu-know-kala-azar-symptoms-and-causes-over-65-instances-of-black-fever-have-been-reported-in-west-bengal","https://www.safalta.com/current-affairs/black-flu-know-kala-azar-symptoms-and-causes-over-65-instances-of-black-fever-have-been-reported-in-west-bengal",p8AJLoQBjuOAFaZ2r30o,"raw_event_data_index","-","-"
"black fever","black fever","Jul 19, 2022 @ 00:00:00.000","Jul 19, 2022 @ 09:14:16.000",case,case,"-","-",new,new,en,en,India,India,v1,v1,65,"Black Fever reported in Bengal; State in alert as cases climb to 65 - IBTimes India . The outbreak of Black Fever usually happens every 25 to 30 years ","Black Fever reported in Bengal; State in alert as cases climb to 65 - IBTimes India . The outbreak of Black Fever usually happens every 25 to 30 years ","0.926","galerts ","galerts ","-1","Black Fever reported in Bengal; State in alert as cases climb to 65 - IBTimes India . The outbreak of Black Fever usually happens every 25 to 30 years","Black Fever reported in Bengal; State in alert as cases climb to 65 - IBTimes India . The outbreak of Black Fever usually happens every 25 to 30 years","https://www.ibtimes.co.in/black-fever-reported-bengal-state-alert-cases-climb-65-850501","https://www.ibtimes.co.in/black-fever-reported-bengal-state-alert-cases-climb-65-850501",bcAJLoQBjuOAFaZ2oHtI,"raw_event_data_index","-","-"
